date,ticker,price
12/11/2018,ELSA,311.816.345
19/11/2018,ELSA,295.111.908
26/11/2018,ELSA,285.831.665
03/12/2018,ELSA,300.680.054
10/12/2018,ELSA,313.672.424
17/12/2018,ELSA,315.528.473
24/12/2018,ELSA,319.240.540
31/12/2018,ELSA,321.096.619
07/01/2019,ELSA,347.081.299
14/01/2019,ELSA,339.657.104
21/01/2019,ELSA,332.232.910
28/01/2019,ELSA,337.801.056
04/02/2019,ELSA,365.641.785
11/02/2019,ELSA,345.225.250
18/02/2019,ELSA,354.505.493
25/02/2019,ELSA,345.225.250
04/03/2019,ELSA,345.225.250
11/03/2019,ELSA,347.081.299
18/03/2019,ELSA,339.657.104
25/03/2019,ELSA,334.088.959
01/04/2019,ELSA,343.369.232
08/04/2019,ELSA,352.649.475
15/04/2019,ELSA,358.217.590
22/04/2019,ELSA,365.641.785
29/04/2019,ELSA,351.483.337
06/05/2019,ELSA,340.083.862
13/05/2019,ELSA,315.385.040
20/05/2019,ELSA,324.884.583
27/05/2019,ELSA,330.584.320
03/06/2019,ELSA,330.584.320
10/06/2019,ELSA,345.783.600
17/06/2019,ELSA,357.183.044
24/06/2019,ELSA,359.082.977
01/07/2019,ELSA,349.583.405
08/07/2019,ELSA,351.483.337
15/07/2019,ELSA,347.683.502
22/07/2019,ELSA,322.984.680
29/07/2019,ELSA,330.584.320
05/08/2019,ELSA,321.084.778
12/08/2019,ELSA,315.385.040
19/08/2019,ELSA,319.184.845
26/08/2019,ELSA,328.684.418
02/09/2019,ELSA,319.184.845
09/09/2019,ELSA,319.184.845
16/09/2019,ELSA,321.084.778
23/09/2019,ELSA,307.785.400
30/09/2019,ELSA,302.085.663
07/10/2019,ELSA,311.585.205
14/10/2019,ELSA,313.485.138
21/10/2019,ELSA,313.485.138
28/10/2019,ELSA,298.285.858
04/11/2019,ELSA,294.486.023
11/11/2019,ELSA,294.486.023
18/11/2019,ELSA,288.786.285
25/11/2019,ELSA,258.387.726
02/12/2019,ELSA,286.886.383
09/12/2019,ELSA,288.786.285
16/12/2019,ELSA,288.786.285
23/12/2019,ELSA,292.586.121
30/12/2019,ELSA,300.185.760
06/01/2020,ELSA,300.185.760
13/01/2020,ELSA,288.786.285
20/01/2020,ELSA,269.787.201
27/01/2020,ELSA,258.387.726
03/02/2020,ELSA,246.988.281
10/02/2020,ELSA,235.588.821
17/02/2020,ELSA,241.288.559
24/02/2020,ELSA,197.590.622
02/03/2020,ELSA,218.489.639
09/03/2020,ELSA,167.192.062
16/03/2020,ELSA,131.093.781
23/03/2020,ELSA,146.293.060
30/03/2020,ELSA,193.790.802
06/04/2020,ELSA,214.689.819
13/04/2020,ELSA,186.191.162
20/04/2020,ELSA,181.441.391
27/04/2020,ELSA,186.191.162
04/05/2020,ELSA,201.390.442
11/05/2020,ELSA,189.990.982
18/05/2020,ELSA,191.890.900
25/05/2020,ELSA,187.141.113
01/06/2020,ELSA,203.290.359
08/06/2020,ELSA,214.689.819
15/06/2020,ELSA,222.289.459
22/06/2020,ELSA,212.789.902
29/06/2020,ELSA,216.589.722
06/07/2020,ELSA,229.889.099
13/07/2020,ELSA,222.289.459
20/07/2020,ELSA,234.000.000
27/07/2020,ELSA,228.000.000
03/08/2020,ELSA,236.000.000
10/08/2020,ELSA,240.000.000
17/08/2020,ELSA,240.000.000
24/08/2020,ELSA,252.000.000
31/08/2020,ELSA,238.000.000
07/09/2020,ELSA,220.000.000
14/09/2020,ELSA,222.000.000
21/09/2020,ELSA,200.000.000
28/09/2020,ELSA,195.000.000
05/10/2020,ELSA,210.000.000
12/10/2020,ELSA,214.000.000
19/10/2020,ELSA,214.000.000
26/10/2020,ELSA,212.000.000
02/11/2020,ELSA,214.000.000
09/11/2020,ELSA,230.000.000
16/11/2020,ELSA,254.000.000
23/11/2020,ELSA,300.000.000
30/11/2020,ELSA,370.000.000
07/12/2020,ELSA,368.000.000
14/12/2020,ELSA,380.000.000
21/12/2020,ELSA,360.000.000
28/12/2020,ELSA,352.000.000
04/01/2021,ELSA,424.000.000
11/01/2021,ELSA,474.000.000
18/01/2021,ELSA,426.000.000
25/01/2021,ELSA,358.000.000
01/02/2021,ELSA,380.000.000
08/02/2021,ELSA,380.000.000
15/02/2021,ELSA,392.000.000
22/02/2021,ELSA,402.000.000
01/03/2021,ELSA,384.000.000
08/03/2021,ELSA,392.000.000
15/03/2021,ELSA,384.000.000
22/03/2021,ELSA,368.000.000
29/03/2021,ELSA,346.000.000
05/04/2021,ELSA,342.000.000
12/04/2021,ELSA,338.000.000
19/04/2021,ELSA,342.000.000
26/04/2021,ELSA,356.000.000
03/05/2021,ELSA,342.000.000
10/05/2021,ELSA,336.000.000
17/05/2021,ELSA,302.000.000
24/05/2021,ELSA,302.000.000
31/05/2021,ELSA,322.000.000
07/06/2021,ELSA,322.000.000
14/06/2021,ELSA,316.000.000
13/06/2016,RALS,770.094.788
20/06/2016,RALS,833.914.734
27/06/2016,RALS,880.716.125
04/07/2016,RALS,880.716.125
11/07/2016,RALS,880.716.125
18/07/2016,RALS,944.536.072
25/07/2016,RALS,1.033.884.277
01/08/2016,RALS,1.004.101.379
08/08/2016,RALS,1.050.902.954
15/08/2016,RALS,1.118.977.417
22/08/2016,RALS,1.080.685.547
29/08/2016,RALS,1.029.629.517
05/09/2016,RALS,982.828.186
12/09/2016,RALS,1.050.902.954
19/09/2016,RALS,987.082.825
26/09/2016,RALS,936.026.794
03/10/2016,RALS,999.846.802
10/10/2016,RALS,999.846.802
17/10/2016,RALS,1.097.704.102
24/10/2016,RALS,1.106.213.501
31/10/2016,RALS,1.084.940.186
07/11/2016,RALS,1.089.194.824
14/11/2016,RALS,1.055.157.349
21/11/2016,RALS,1.004.101.379
28/11/2016,RALS,995.592.163
05/12/2016,RALS,1.016.865.479
12/12/2016,RALS,982.828.186
19/12/2016,RALS,961.554.749
26/12/2016,RALS,1.016.865.479
02/01/2017,RALS,1.046.648.193
09/01/2017,RALS,1.046.648.193
16/01/2017,RALS,1.046.648.193
23/01/2017,RALS,1.157.269.409
30/01/2017,RALS,1.242.362.793
06/02/2017,RALS,1.187.052.002
13/02/2017,RALS,1.110.468.262
20/02/2017,RALS,1.114.722.778
27/02/2017,RALS,1.008.356.018
06/03/2017,RALS,1.016.865.479
13/03/2017,RALS,978.573.486
20/03/2017,RALS,982.828.186
27/03/2017,RALS,948.790.710
03/04/2017,RALS,978.573.486
10/04/2017,RALS,982.828.186
17/04/2017,RALS,957.300.110
24/04/2017,RALS,1.084.940.186
01/05/2017,RALS,1.123.232.178
08/05/2017,RALS,1.165.778.931
15/05/2017,RALS,1.135.996.094
22/05/2017,RALS,1.063.666.870
29/05/2017,RALS,1.163.974.609
05/06/2017,RALS,1.137.719.727
12/06/2017,RALS,1.093.961.060
19/06/2017,RALS,1.072.081.909
26/06/2017,RALS,1.072.081.909
03/07/2017,RALS,945.182.434
10/07/2017,RALS,936.430.725
17/07/2017,RALS,897.048.096
24/07/2017,RALS,827.034.668
31/07/2017,RALS,783.276.123
07/08/2017,RALS,827.034.668
14/08/2017,RALS,875.168.884
21/08/2017,RALS,914.551.514
28/08/2017,RALS,883.920.593
04/09/2017,RALS,813.907.043
11/09/2017,RALS,831.410.522
18/09/2017,RALS,818.282.898
25/09/2017,RALS,787.651.978
02/10/2017,RALS,844.537.964
09/10/2017,RALS,818.282.898
16/10/2017,RALS,761.396.973
23/10/2017,RALS,770.148.682
30/10/2017,RALS,783.276.123
06/11/2017,RALS,809.531.189
13/11/2017,RALS,853.289.673
20/11/2017,RALS,818.282.898
27/11/2017,RALS,875.168.884
04/12/2017,RALS,888.296.448
11/12/2017,RALS,945.182.434
18/12/2017,RALS,883.920.593
25/12/2017,RALS,1.050.202.637
01/01/2018,RALS,958.309.937
08/01/2018,RALS,1.063.330.200
15/01/2018,RALS,1.085.209.351
22/01/2018,RALS,1.037.075.195
29/01/2018,RALS,1.067.706.177
05/02/2018,RALS,1.006.444.275
12/02/2018,RALS,1.041.450.928
19/02/2018,RALS,997.692.566
26/02/2018,RALS,1.107.088.745
05/03/2018,RALS,1.063.330.200
12/03/2018,RALS,1.102.712.769
19/03/2018,RALS,1.102.712.769
26/03/2018,RALS,1.181.478.027
02/04/2018,RALS,1.155.222.900
09/04/2018,RALS,1.251.491.577
16/04/2018,RALS,1.260.243.164
23/04/2018,RALS,1.233.988.159
30/04/2018,RALS,1.216.484.741
07/05/2018,RALS,1.190.229.736
14/05/2018,RALS,1.172.726.318
21/05/2018,RALS,1.212.108.887
28/05/2018,RALS,1.194.605.591
04/06/2018,RALS,1.304.001.709
11/06/2018,RALS,1.340.098.633
18/06/2018,RALS,1.281.637.939
25/06/2018,RALS,1.340.098.633
02/07/2018,RALS,1.196.195.435
09/07/2018,RALS,1.164.716.675
16/07/2018,RALS,1.295.128.784
23/07/2018,RALS,1.299.625.854
30/07/2018,RALS,1.187.201.416
06/08/2018,RALS,1.223.177.368
13/08/2018,RALS,1.070.280.029
20/08/2018,RALS,1.173.710.571
27/08/2018,RALS,1.142.231.689
03/09/2018,RALS,1.133.237.793
10/09/2018,RALS,1.205.189.331
17/09/2018,RALS,1.214.183.350
24/09/2018,RALS,1.169.213.623
01/10/2018,RALS,1.115.249.756
08/10/2018,RALS,1.070.280.029
15/10/2018,RALS,1.074.777.100
22/10/2018,RALS,1.056.789.185
29/10/2018,RALS,1.034.304.321
05/11/2018,RALS,1.146.728.760
12/11/2018,RALS,1.196.195.435
19/11/2018,RALS,1.142.231.689
26/11/2018,RALS,1.070.280.029
03/12/2018,RALS,1.218.680.298
10/12/2018,RALS,1.218.680.298
17/12/2018,RALS,1.286.135.010
24/12/2018,RALS,1.277.140.991
31/12/2018,RALS,1.286.135.010
07/01/2019,RALS,1.367.080.444
14/01/2019,RALS,1.371.577.393
21/01/2019,RALS,1.475.007.813
28/01/2019,RALS,1.528.971.680
04/02/2019,RALS,1.506.486.694
11/02/2019,RALS,1.623.408.081
18/02/2019,RALS,1.510.983.765
25/02/2019,RALS,1.546.959.473
04/03/2019,RALS,1.555.953.369
11/03/2019,RALS,1.618.911.133
18/03/2019,RALS,1.551.456.421
25/03/2019,RALS,1.573.941.406
01/04/2019,RALS,1.587.432.373
08/04/2019,RALS,1.618.911.133
15/04/2019,RALS,1.641.395.996
22/04/2019,RALS,1.555.953.369
29/04/2019,RALS,1.591.929.321
06/05/2019,RALS,1.591.929.321
13/05/2019,RALS,1.528.971.680
20/05/2019,RALS,1.380.571.411
27/05/2019,RALS,1.457.020.020
03/06/2019,RALS,1.457.020.020
10/06/2019,RALS,1.335.601.685
17/06/2019,RALS,1.375.000.000
24/06/2019,RALS,1.305.555.542
01/07/2019,RALS,1.273.148.071
08/07/2019,RALS,1.240.740.723
15/07/2019,RALS,1.203.703.735
22/07/2019,RALS,1.263.888.916
29/07/2019,RALS,1.231.481.445
05/08/2019,RALS,1.212.962.891
12/08/2019,RALS,1.199.074.097
19/08/2019,RALS,1.157.407.349
26/08/2019,RALS,1.120.370.361
02/09/2019,RALS,1.064.814.819
09/09/2019,RALS,1.111.111.084
16/09/2019,RALS,1.120.370.361
23/09/2019,RALS,1.111.111.084
30/09/2019,RALS,1.134.259.277
07/10/2019,RALS,1.171.296.265
14/10/2019,RALS,1.166.666.626
21/10/2019,RALS,1.120.370.361
28/10/2019,RALS,1.060.185.181
04/11/2019,RALS,1.069.444.458
11/11/2019,RALS,1.027.777.710
18/11/2019,RALS,949.074.036
25/11/2019,RALS,939.814.819
02/12/2019,RALS,990.740.723
09/12/2019,RALS,958.333.313
16/12/2019,RALS,925.925.903
23/12/2019,RALS,986.111.084
30/12/2019,RALS,990.740.723
06/01/2020,RALS,958.333.313
13/01/2020,RALS,1.092.592.529
20/01/2020,RALS,1.069.444.458
27/01/2020,RALS,990.740.723
03/02/2020,RALS,995.370.361
10/02/2020,RALS,916.666.626
17/02/2020,RALS,912.037.048
24/02/2020,RALS,958.333.313
02/03/2020,RALS,875.000.000
09/03/2020,RALS,662.037.048
16/03/2020,RALS,467.592.590
23/03/2020,RALS,462.962.952
30/03/2020,RALS,472.222.229
06/04/2020,RALS,560.185.181
13/04/2020,RALS,532.407.410
20/04/2020,RALS,513.888.855
27/04/2020,RALS,532.407.410
04/05/2020,RALS,523.148.132
11/05/2020,RALS,518.518.494
18/05/2020,RALS,541.666.687
25/05/2020,RALS,527.777.771
01/06/2020,RALS,592.592.590
08/06/2020,RALS,555.555.542
15/06/2020,RALS,578.703.674
22/06/2020,RALS,564.814.819
29/06/2020,RALS,541.666.687
06/07/2020,RALS,518.518.494
13/07/2020,RALS,523.148.132
20/07/2020,RALS,523.148.132
27/07/2020,RALS,523.148.132
03/08/2020,RALS,564.814.819
10/08/2020,RALS,601.851.868
17/08/2020,RALS,601.851.868
24/08/2020,RALS,592.592.590
31/08/2020,RALS,635.000.000
07/09/2020,RALS,585.000.000
14/09/2020,RALS,580.000.000
21/09/2020,RALS,565.000.000
28/09/2020,RALS,510.000.000
05/10/2020,RALS,570.000.000
12/10/2020,RALS,565.000.000
19/10/2020,RALS,560.000.000
26/10/2020,RALS,575.000.000
02/11/2020,RALS,570.000.000
09/11/2020,RALS,660.000.000
16/11/2020,RALS,740.000.000
23/11/2020,RALS,780.000.000
30/11/2020,RALS,740.000.000
07/12/2020,RALS,760.000.000
14/12/2020,RALS,890.000.000
21/12/2020,RALS,850.000.000
28/12/2020,RALS,775.000.000
04/01/2021,RALS,785.000.000
11/01/2021,RALS,825.000.000
18/01/2021,RALS,780.000.000
25/01/2021,RALS,645.000.000
01/02/2021,RALS,675.000.000
08/02/2021,RALS,725.000.000
15/02/2021,RALS,715.000.000
22/02/2021,RALS,730.000.000
01/03/2021,RALS,760.000.000
08/03/2021,RALS,805.000.000
15/03/2021,RALS,790.000.000
22/03/2021,RALS,800.000.000
29/03/2021,RALS,785.000.000
05/04/2021,RALS,785.000.000
12/04/2021,RALS,835.000.000
19/04/2021,RALS,865.000.000
26/04/2021,RALS,775.000.000
03/05/2021,RALS,720.000.000
10/05/2021,RALS,740.000.000
17/05/2021,RALS,685.000.000
24/05/2021,RALS,660.000.000
31/05/2021,RALS,685.000.000
07/06/2021,RALS,680.000.000
14/06/2021,RALS,710.000.000
