Date;Ticker;Price;;;;
15/06/2020;ELSA;222.289.459;;;;
22/06/2020;ELSA;212.789.902;;;;
29/06/2020;ELSA;216.589.722;;;;
06/07/2020;ELSA;229.889.099;;;;
13/07/2020;ELSA;222.289.459;;;;
20/07/2020;ELSA;234.000.000;;;;
27/07/2020;ELSA;228.000.000;;;;
03/08/2020;ELSA;236.000.000;;;;
10/08/2020;ELSA;240.000.000;;;;
17/08/2020;ELSA;240.000.000;;;;
24/08/2020;ELSA;252.000.000;;;;
31/08/2020;ELSA;238.000.000;;;;
07/09/2020;ELSA;220.000.000;;;;
14/09/2020;ELSA;222.000.000;;;;
21/09/2020;ELSA;200.000.000;;;;
28/09/2020;ELSA;195.000.000;;;;
05/10/2020;ELSA;210.000.000;;;;
12/10/2020;ELSA;214.000.000;;;;
19/10/2020;ELSA;214.000.000;;;;
26/10/2020;ELSA;212.000.000;;;;
02/11/2020;ELSA;214.000.000;;;;
09/11/2020;ELSA;230.000.000;;;;
16/11/2020;ELSA;254.000.000;;;;
23/11/2020;ELSA;300.000.000;;;;
30/11/2020;ELSA;370.000.000;;;;
07/12/2020;ELSA;368.000.000;;;;
14/12/2020;ELSA;380.000.000;;;;
21/12/2020;ELSA;360.000.000;;;;
28/12/2020;ELSA;352.000.000;;;;
04/01/2021;ELSA;424.000.000;;;;
11/01/2021;ELSA;474.000.000;;;;
18/01/2021;ELSA;426.000.000;;;;
25/01/2021;ELSA;358.000.000;;;;
01/02/2021;ELSA;380.000.000;;;;
08/02/2021;ELSA;380.000.000;;;;
15/02/2021;ELSA;392.000.000;;;;
22/02/2021;ELSA;402.000.000;;;;
01/03/2021;ELSA;384.000.000;;;;
08/03/2021;ELSA;392.000.000;;;;
15/03/2021;ELSA;384.000.000;;;;
22/03/2021;ELSA;368.000.000;;;;
29/03/2021;ELSA;346.000.000;;;;
05/04/2021;ELSA;342.000.000;;;;
12/04/2021;ELSA;338.000.000;;;;
19/04/2021;ELSA;342.000.000;;;;
26/04/2021;ELSA;356.000.000;;;;
03/05/2021;ELSA;342.000.000;;;;
10/05/2021;ELSA;336.000.000;;;;
17/05/2021;ELSA;302.000.000;;;;
24/05/2021;ELSA;302.000.000;;;;
31/05/2021;ELSA;322.000.000;;;;
07/06/2021;ELSA;322.000.000;;;;
14/06/2021;ELSA;316.000.000;;;;
15/06/2020;RALS;578.703.674;;;;
22/06/2020;RALS;564.814.819;;;;
29/06/2020;RALS;541.666.687;;;;
06/07/2020;RALS;518.518.494;;;;
13/07/2020;RALS;523.148.132;;;;
20/07/2020;RALS;523.148.132;;;;
27/07/2020;RALS;523.148.132;;;;
03/08/2020;RALS;564.814.819;;;;
10/08/2020;RALS;601.851.868;;;;
17/08/2020;RALS;601.851.868;;;;
24/08/2020;RALS;592.592.590;;;;
31/08/2020;RALS;635.000.000;;;;
07/09/2020;RALS;585.000.000;;;;
14/09/2020;RALS;580.000.000;;;;
21/09/2020;RALS;565.000.000;;;;
28/09/2020;RALS;510.000.000;;;;
05/10/2020;RALS;570.000.000;;;;
12/10/2020;RALS;565.000.000;;;;
19/10/2020;RALS;560.000.000;;;;
26/10/2020;RALS;575.000.000;;;;
02/11/2020;RALS;570.000.000;;;;
09/11/2020;RALS;660.000.000;;;;
16/11/2020;RALS;740.000.000;;;;
23/11/2020;RALS;780.000.000;;;;
30/11/2020;RALS;740.000.000;;;;
07/12/2020;RALS;760.000.000;;;;
14/12/2020;RALS;890.000.000;;;;
21/12/2020;RALS;850.000.000;;;;
28/12/2020;RALS;775.000.000;;;;
04/01/2021;RALS;785.000.000;;;;
11/01/2021;RALS;825.000.000;;;;
18/01/2021;RALS;780.000.000;;;;
25/01/2021;RALS;645.000.000;;;;
01/02/2021;RALS;675.000.000;;;;
08/02/2021;RALS;725.000.000;;;;
15/02/2021;RALS;715.000.000;;;;
22/02/2021;RALS;730.000.000;;;;
01/03/2021;RALS;760.000.000;;;;
08/03/2021;RALS;805.000.000;;;;
15/03/2021;RALS;790.000.000;;;;
22/03/2021;RALS;800.000.000;;;;
29/03/2021;RALS;785.000.000;;;;
05/04/2021;RALS;785.000.000;;;;
12/04/2021;RALS;835.000.000;;;;
19/04/2021;RALS;865.000.000;;;;
26/04/2021;RALS;775.000.000;;;;
03/05/2021;RALS;720.000.000;;;;
10/05/2021;RALS;740.000.000;;;;
17/05/2021;RALS;685.000.000;;;;
24/05/2021;RALS;660.000.000;;;;
31/05/2021;RALS;685.000.000;;;;
07/06/2021;RALS;680.000.000;;;;
14/06/2021;RALS;710.000.000;;;;
15/06/2020;BBRI;3.026.998.291;;;;
22/06/2020;BBRI;2.958.646.729;;;;
29/06/2020;BBRI;2.978.175.781;;;;
06/07/2020;BBRI;3.036.762.695;;;;
13/07/2020;BBRI;3.026.998.291;;;;
20/07/2020;BBRI;3.017.233.643;;;;
27/07/2020;BBRI;3.085.585.205;;;;
03/08/2020;BBRI;3.036.762.695;;;;
10/08/2020;BBRI;3.261.346.436;;;;
17/08/2020;BBRI;3.476.165.771;;;;
24/08/2020;BBRI;3.603.104.248;;;;
31/08/2020;BBRI;3.466.401.123;;;;
07/09/2020;BBRI;3.173.465.820;;;;
14/09/2020;BBRI;3.144.172.363;;;;
21/09/2020;BBRI;3.085.585.205;;;;
28/09/2020;BBRI;3.026.998.291;;;;
05/10/2020;BBRI;3.075.820.801;;;;
12/10/2020;BBRI;3.173.465.820;;;;
19/10/2020;BBRI;3.212.523.926;;;;
26/10/2020;BBRI;3.280.875.488;;;;
02/11/2020;BBRI;3.476.165.771;;;;
09/11/2020;BBRI;3.905.804.199;;;;
16/11/2020;BBRI;3.925.333.252;;;;
23/11/2020;BBRI;4.169.445.801;;;;
30/11/2020;BBRI;4.198.739.258;;;;
07/12/2020;BBRI;4.179.210.449;;;;
14/12/2020;BBRI;4.179.210.449;;;;
21/12/2020;BBRI;4.062.036.377;;;;
28/12/2020;BBRI;4.071.800.781;;;;
04/01/2021;BBRI;4.286.620.117;;;;
11/01/2021;BBRI;4.472.145.996;;;;
18/01/2021;BBRI;4.608.849.121;;;;
25/01/2021;BBRI;4.081.565.430;;;;
01/02/2021;BBRI;4.364.736.328;;;;
08/02/2021;BBRI;4.569.791.016;;;;
15/02/2021;BBRI;4.677.200.684;;;;
22/02/2021;BBRI;4.599.084.473;;;;
01/03/2021;BBRI;4.657.671.387;;;;
08/03/2021;BBRI;4.472.145.996;;;;
15/03/2021;BBRI;4.560.026.367;;;;
22/03/2021;BBRI;4.608.849.121;;;;
29/03/2021;BBRI;4.188.975.098;;;;
05/04/2021;BBRI;4.247.562.012;;;;
12/04/2021;BBRI;4.340.000.000;;;;
19/04/2021;BBRI;4.250.000.000;;;;
26/04/2021;BBRI;4.050.000.000;;;;
03/05/2021;BBRI;4.050.000.000;;;;
10/05/2021;BBRI;3.990.000.000;;;;
17/05/2021;BBRI;3.890.000.000;;;;
24/05/2021;BBRI;4.070.000.000;;;;
31/05/2021;BBRI;4.340.000.000;;;;
07/06/2021;BBRI;4.280.000.000;;;;
14/06/2021;BBRI;4.230.000.000;;;;
15/06/2020;LSIP;807.638.184;;;;
22/06/2020;LSIP;812.562.805;;;;
29/06/2020;LSIP;847.035.156;;;;
06/07/2020;LSIP;832.261.292;;;;
13/07/2020;LSIP;930.753.784;;;;
20/07/2020;LSIP;980.000.000;;;;
27/07/2020;LSIP;975.075.378;;;;
03/08/2020;LSIP;995.000.000;;;;
10/08/2020;LSIP;995.000.000;;;;
17/08/2020;LSIP;985.000.000;;;;
24/08/2020;LSIP;980.000.000;;;;
31/08/2020;LSIP;1.040.000.000;;;;
07/09/2020;LSIP;940.000.000;;;;
14/09/2020;LSIP;1.015.000.000;;;;
21/09/2020;LSIP;925.000.000;;;;
28/09/2020;LSIP;920.000.000;;;;
05/10/2020;LSIP;940.000.000;;;;
12/10/2020;LSIP;925.000.000;;;;
19/10/2020;LSIP;935.000.000;;;;
26/10/2020;LSIP;980.000.000;;;;
02/11/2020;LSIP;1.005.000.000;;;;
09/11/2020;LSIP;1.090.000.000;;;;
16/11/2020;LSIP;1.125.000.000;;;;
23/11/2020;LSIP;1.170.000.000;;;;
30/11/2020;LSIP;1.205.000.000;;;;
07/12/2020;LSIP;1.215.000.000;;;;
14/12/2020;LSIP;1.270.000.000;;;;
21/12/2020;LSIP;1.295.000.000;;;;
28/12/2020;LSIP;1.375.000.000;;;;
04/01/2021;LSIP;1.470.000.000;;;;
11/01/2021;LSIP;1.345.000.000;;;;
18/01/2021;LSIP;1.275.000.000;;;;
25/01/2021;LSIP;1.335.000.000;;;;
01/02/2021;LSIP;1.320.000.000;;;;
08/02/2021;LSIP;1.340.000.000;;;;
15/02/2021;LSIP;1.285.000.000;;;;
22/02/2021;LSIP;1.325.000.000;;;;
01/03/2021;LSIP;1.320.000.000;;;;
08/03/2021;LSIP;1.500.000.000;;;;
15/03/2021;LSIP;1.390.000.000;;;;
22/03/2021;LSIP;1.375.000.000;;;;
29/03/2021;LSIP;1.325.000.000;;;;
05/04/2021;LSIP;1.320.000.000;;;;
12/04/2021;LSIP;1.305.000.000;;;;
19/04/2021;LSIP;1.315.000.000;;;;
26/04/2021;LSIP;1.305.000.000;;;;
03/05/2021;LSIP;1.345.000.000;;;;
10/05/2021;LSIP;1.385.000.000;;;;
17/05/2021;LSIP;1.300.000.000;;;;
24/05/2021;LSIP;1.190.000.000;;;;
31/05/2021;LSIP;1.225.000.000;;;;
07/06/2021;LSIP;1.225.000.000;;;;
14/06/2021;LSIP;1.110.000.000;;;;
